HW;Vyrobce;Model;Rok;CMD;NKP;Zapojeni
820;Alfa Romeo;Alfa Romeo Giulia 2015;;CN807;CAN2={768,0,120};diagnostickù konektor OBD2 - pin 6 -modrù (hight), pin 14 - bilù (low) 
820;BMW;BMW;;CN808;CAN2={352,0,120};
820;BMW;BMW I3;;CN809;CAN2={353,0,120};
820;BMW;BMW 530xd xDrive 2018;;CN810;CAN2={354,0,120};
820;Citroen;Citroen Berlingo;;CN811;CAN2={208,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;BERLINGO II (B9)04/08-18+;;CN812;CAN2={208,0,120}/CAN2={209,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;BERLINGO II karoserie (B9)04/08-18+;;CN812;CAN2={208,0,120}/CAN2={209,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;BERLINGO II valn’k/podvozek (B9)04/08-18+;;CN812;CAN2={228,0,120}/CAN2={209,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;BERLINGO III 19-+;2019+;CN812;CAN2={228,0,120}/CAN2={209,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;BERLINGO III karoserie 19-+;;CN812;CAN2={228,0,120}/CAN2={209,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;BERLINGO III valn’k/podvozek 19-+;;CN812;CAN2={228,0,120}/CAN2={209,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;BERLINGO IV 2021+ (Toyota ProAce City/Peugeot Partner);;CN813;CAN2={228,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;C4 Picasso II02/13-+;;CN813;CAN2={228,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;Citro?n Spacetourer 2016/2025 (Toyota ProAce);;CN813;CAN2={228,0,120};diagnostickù konektor OBD2 vlevo pod volantem, PIN ‹.6 - CAN H, PIN ‹. 14 - CAN L
820;Citroen;Citro?n Jumper 2023+;;CN814;CAN2={154,0,120}/CAN2={147,0,120};pod nohama spolujezdce, pr‡zdnù konektor z kterŽho vedou tÞi vodi‹e, modrù CAN H, b’lù CAN L 
820;Dongfeng;Dongfeng Forthing T5 EVO 2024+;;CN905;CAN2={950,0,120,0};vlevo dole v prahu u b’lŽho konektoru äedù s b’lùm pruhem HI a tyrkysovù s b’lùm pruhem LOW
820;Dacia;DOKKER11/12-;;CN815;CAN2={289,0,120};
820;Dacia;DOKKER Express12/12-;;CN815;CAN2={289,0,120};
820;Dacia;SANDERO II10/12-;;CN815;CAN2={289,0,120};pÞipojeno na OBD Pin 6 H - äed‡ s b’lou, pin 14 L - fialov‡ s b’lou
820;Dacia;DUSTER 10/17-;;CN815;CAN2={289,0,120};
820;Dacia;DUSTER 2024+;;CN906;CAN2={900,0,120,0};Od spojkovŽho ped‡lu nalevo za hnždùm konektorem modrù LOW a bŽìovù HI
820;Fendt;Fendt 936 vario, primarni motorovy 250k, sekundarni ISO CAN 250k, trip fuel z fuel rate;;CN816;CAN2={521,0,120};
820;Fiat;Doblo 50k LS;;CN817;CAN2={154,0,120}/CAN2={149,0,120};diagnostickù konektor OBD2 vlevo pod volantem, CAN-L - b’lù, CAN-H - modrù (1CAN pÞipojen’)
820;Fiat;Ducato;;CN818;CAN2={150,0,120} / CAN2={154,0,120};diagnostickù konektor OBD2 vlevo pod volantem, 1CAN=PIN ‹.1 - CAN H (modrù vodi‹), PIN ‹. 9 - CAN L (bilù vodi‹),2CAN= prim‡rn’ PINy 6+14, sekund‡rn’ PINy 1+9 + HW œpraha jednotky
820;Fiat;Ducato;;CN881;CAN2={154,0,120} / CAN2={145,0,120};diagnostickù konektor OBD2 vlevo pod volantem, 1CAN=PIN ‹.1 - CAN H (modrù vodi‹), PIN ‹. 9 - CAN L (bilù vodi‹),2CAN= prim‡rn’ PINy 6+14, sekund‡rn’ PINy 1+9 + HW œpraha jednotky
820;Fiat;Ducato 2025+ (Peugeot Boxer);;CN863;CAN2={225,0,120}/CAN2={243,0,120};
820;Fiat;Ducato, Fiorino;;CN819;CAN2={154,0,120} / CAN2={146,0,120};diagnostickù konektor OBD2 vlevo pod volantem, 1CAN=PIN ‹.1 - CAN H (modrù vodi‹), PIN ‹. 9 - CAN L (bilù vodi‹),2CAN= prim‡rn’ PINy 6+14, sekund‡rn’ PINy 1+9 + HW œpraha jednotky
820;Fiat;Ducato, (Peugeot Boxer);;CN820;CAN2={154,0,120} / CAN2={150,0,120};diagnostickù konektor OBD2 vlevo pod volantem, 1CAN=PIN ‹.1 - CAN H (modrù vodi‹), PIN ‹. 9 - CAN L (bilù vodi‹),2CAN= prim‡rn’ PINy 6+14, sekund‡rn’ PINy 1+9 + HW œpraha jednotky
820;Fiat;Fullback;;CN821;CAN2={154,0,120} / CAN2={151,0,120};
820;Fiat;Talento (ve vùvoji);;CN815/CN871;CAN2={289,0,120}/CAN2{291,0,120};
820;Fiat;Tipo 2019+;;CN822; CAN2={152,0,120};
820;Ford;Bronco 2024/2025+ (ve vùvoji);;;;
